Symbol,Strategy,Date,Action,Price,Reason,Side,Net Profit,Cumulative Net Profit,N,L,Signal Date,Signal_Rolling_High,Signal_Rolling_Low,entry_close_t,exit_close_t,EntryPrice
0050,S4 MeanRevert-Short,2020-10-11,SELLSHORT,106.5,收盤 > N日高,short,0.0,-36.95,10,20,2020-10-07,105.0,100.05,106.2,,
0050,S4 MeanRevert-Short,2021-05-11,BUYTOCOVER,133.1,收盤 < L日低,short,-26.6,-63.550000000000004,10,20,2021-05-10,142.0,135.0,106.2,133.25,106.5
0050,S4 MeanRevert-Short,2021-05-30,SELLSHORT,135.6,收盤 > N日高,short,0.0,-63.550000000000004,10,20,2021-05-27,135.15,121.2,135.8,,
0050,S4 MeanRevert-Short,2021-07-28,BUYTOCOVER,136.05,收盤 < L日低,short,-0.45,-64.0,10,20,2021-07-27,141.85,136.05,135.8,134.25,135.6
0050,S4 MeanRevert-Short,2021-08-04,SELLSHORT,139.05,收盤 > N日高,short,0.0,-64.0,10,20,2021-08-03,138.55,133.75,139.25,,
0050,S4 MeanRevert-Short,2021-08-19,BUYTOCOVER,132.4,收盤 < L日低,short,6.65,-57.35,10,20,2021-08-18,139.45,132.45,139.25,131.8,139.05
0050,S4 MeanRevert-Short,2021-08-29,SELLSHORT,138.45,收盤 > N日高,short,0.0,-57.35,10,20,2021-08-26,138.0,130.2,138.15,,
0050,S4 MeanRevert-Short,2021-09-29,BUYTOCOVER,136.5,收盤 < L日低,short,1.95,-55.4,10,20,2021-09-28,142.2,136.3,138.15,136.0,138.45
0050,S4 MeanRevert-Short,2021-10-19,SELLSHORT,136.85,收盤 > N日高,short,0.0,-55.4,10,20,2021-10-18,136.9,130.9,136.95,,
0050,S4 MeanRevert-Short,2022-01-25,BUYTOCOVER,141.35,收盤 < L日低,short,-4.5,-59.9,10,20,2022-01-24,152.4,141.7,136.95,141.65,136.85
0050,S4 MeanRevert-Short,2022-03-21,SELLSHORT,136.6,收盤 > N日高,short,0.0,-59.9,10,20,2022-03-20,136.9,131.0,137.0,,
0050,S4 MeanRevert-Short,2022-04-18,BUYTOCOVER,132.45,收盤 < L日低,short,4.15,-55.75,10,20,2022-04-17,138.65,131.6,137.0,131.55,136.6
0050,S4 MeanRevert-Short,2022-05-30,SELLSHORT,128.25,收盤 > N日高,short,0.0,-55.75,10,20,2022-05-29,126.0,121.2,128.55,,
0050,S4 MeanRevert-Short,2022-06-19,BUYTOCOVER,121.1,收盤 < L日低,short,7.15,-48.6,10,20,2022-06-16,129.1,122.1,128.55,120.85,128.25
0050,S4 MeanRevert-Short,2022-07-21,SELLSHORT,116.4,收盤 > N日高,short,0.0,-48.6,10,20,2022-07-20,116.2,108.45,116.35,,
0050,S4 MeanRevert-Short,2022-09-01,BUYTOCOVER,115.3,收盤 < L日低,short,1.1,-47.5,10,20,2022-08-31,122.0,115.2,116.35,115.15,116.4
0050,S4 MeanRevert-Short,2022-11-08,SELLSHORT,102.35,收盤 > N日高,short,0.0,-47.5,10,20,2022-11-07,100.85,96.5,101.6,,
0050,S4 MeanRevert-Short,2022-12-20,BUYTOCOVER,111.0,收盤 < L日低,short,-8.65,-56.15,10,20,2022-12-19,116.8,112.0,101.6,110.3,102.35
0050,S4 MeanRevert-Short,2023-01-09,SELLSHORT,115.75,收盤 > N日高,short,0.0,-56.15,10,20,2023-01-08,112.25,108.4,115.8,,
0050,S4 MeanRevert-Short,2023-04-24,BUYTOCOVER,118.5,收盤 < L日低,short,-2.75,-58.9,10,20,2023-04-23,121.65,118.4,115.8,118.15,115.75
0050,S4 MeanRevert-Short,2023-05-17,SELLSHORT,121.6,收盤 > N日高,short,0.0,-58.9,10,20,2023-05-16,119.0,115.5,120.55,,
0050,S4 MeanRevert-Short,2023-08-14,BUYTOCOVER,125.45,收盤 < L日低,short,-3.85,-62.75,10,20,2023-08-13,130.65,126.15,120.55,124.5,121.6
0050,S4 MeanRevert-Short,2023-09-14,SELLSHORT,126.8,收盤 > N日高,short,0.0,-62.75,10,20,2023-09-13,126.8,122.9,126.95,,
0050,S4 MeanRevert-Short,2023-09-21,BUYTOCOVER,122.65,收盤 < L日低,short,4.15,-58.6,10,20,2023-09-20,127.35,123.4,126.95,122.75,126.8
0050,S4 MeanRevert-Short,2023-10-11,SELLSHORT,126.3,收盤 > N日高,short,0.0,-58.6,10,20,2023-10-10,124.5,121.35,126.25,,
0050,S4 MeanRevert-Short,2023-10-31,BUYTOCOVER,122.2,收盤 < L日低,short,4.1,-54.5,10,20,2023-10-30,127.0,121.35,126.25,121.15,126.3
0050,S4 MeanRevert-Short,2023-11-06,SELLSHORT,126.3,收盤 > N日高,short,0.0,-54.5,10,20,2023-11-05,125.6,121.1,126.55,,
0050,S4 MeanRevert-Short,2024-01-16,BUYTOCOVER,130.2,收盤 < L日低,short,-3.9,-58.4,10,20,2024-01-15,135.95,131.95,126.55,131.65,126.3
0050,S4 MeanRevert-Short,2024-01-25,SELLSHORT,135.45,收盤 > N日高,short,0.0,-58.4,10,20,2024-01-24,134.4,127.3,135.65,,
0050,S4 MeanRevert-Short,2024-04-21,BUYTOCOVER,150.6,收盤 < L日低,short,-15.15,-73.55,10,20,2024-04-18,163.35,153.0,135.65,150.9,135.45
0050,S4 MeanRevert-Short,2024-05-08,SELLSHORT,160.55,收盤 > N日高,short,0.0,-73.55,10,20,2024-05-07,160.55,149.5,160.7,,
0050,S4 MeanRevert-Short,2024-07-22,BUYTOCOVER,183.9,收盤 < L日低,short,-23.35,-96.9,10,20,2024-07-21,202.8,180.8,160.7,180.7,160.55
0050,S4 MeanRevert-Short,2024-08-18,SELLSHORT,183.3,收盤 > N日高,short,0.0,-96.9,10,20,2024-08-15,181.85,158.4,183.4,,
